manufacturer,model_name,model_year,body_type,fuel_type,transmission,power_(bhp),engine_(cc),mileage,kilometers,previous_owners,insurance_type,seats,city,price_in_lakhs_(₹)
Renault,Lodgy,2016,MUV,Diesel,Manual,108.5,1461.0,19.98,70000.0,1,third_party_insurance,7,bangalore,7.5
Skoda,Octavia,2018,Sedan,Petrol,Automatic,178.0,1798.0,15.1,79000.0,1,Comprehensive,5,bangalore,17.9
Tata,Tiago,2017,Hatchback,Petrol,Manual,84.0,1199.0,23.84,68039.0,2,third_party_insurance,5,bangalore,4.68
Maruti,Ritz,2014,Hatchback,Petrol,Manual,85.8,1197.0,18.5,60000.0,2,third_party_insurance,5,bangalore,4.2
Hyundai,i20,2021,Hatchback,Petrol,Manual,118.36,998.0,20.0,10000.0,1,third_party_insurance,5,bangalore,9.2
Honda,City,2013,Sedan,Petrol,Manual,116.3,1497.0,16.8,49873.0,1,third_party_insurance,5,bangalore,5.33
Volkswagen,Polo,2013,Hatchback,Petrol,Automatic,103.6,1197.0,17.2,90000.0,3,third_party_insurance,5,bangalore,8.5
Skoda,Rapid,2017,Sedan,Diesel,Manual,108.6,1498.0,21.13,48960.0,2,third_party_insurance,5,bangalore,7.51
Hyundai,Grand i10,2014,Hatchback,Diesel,Manual,70.0,1120.0,24.0,70000.0,2,third_party_insurance,5,bangalore,3.88
Hyundai,i20,2013,Hatchback,Petrol,Manual,82.85,1197.0,18.5,68000.0,2,Comprehensive,5,bangalore,4.9
Mahindra,KUV 100,2016,SUV,Diesel,Manual,77.0,1198.0,25.32,23017.0,1,third_party_insurance,6,bangalore,4.94
Hyundai,i20,2013,Hatchback,Diesel,Manual,88.76,1396.0,21.27,83000.0,2,Comprehensive,5,bangalore,5.25
BMW,X3,2016,SUV,Diesel,Automatic,187.74,1995.0,16.55,92000.0,2,Comprehensive,5,bangalore,28.9
Maruti,Wagon R,2018,Hatchback,Petrol,Manual,67.04,998.0,20.51,62139.0,1,Comprehensive,5,bangalore,5.5
